Pattern,gap
C13 gap,1.003355
O,15.994915
Br gap,1.999124
Cl gap,1.99705
H2O,18.01056
CO,27.994915
CH2,14.01563
C2H4,28.03126
C2H5,29.03912
C2H4O,44.02622
CO2,43.98983
C2H4O2,60.02109
H2,2.01563
S34 gap,1.995796
O18 gap,2.004245
N15 gap,0.997035
Si29 gap,0.999568
H-Na adduct gap,21.98194
K-Na adduct gap,15.97394
MeOH cluster,32.02622
ACN cluster,41.02655
C3H6,42.04695
CF2,49.99681
NH4Cl,53.00323
C4H8,56.0626
NaCl,57.95862
C3H6O,58.04187
CHOONH4,63.03203
NaHCO2,67.98742
–OSi(CH3)3,72.03953
Kcl,73.93256
O–Si(CH3)2,74.01879
C2H6OS,78.01394
NaCH3CO2,82.00307
C2D6OS,84.05159
107Ag,106.90509
109Ag,108.90476
 TFA CF3COOH,113.99286
NaClO4,121.93828
NaCF3CO2,135.97481
C6H10O5,162.05283
C12H22N2O2,226.16813
CsI,259.80992
C12H25SO4Na,288.13713
